instance_name;status;runtime_s;objective;mip_gap
L30P180A11(A);2;1564.3360240459442;7.694000655310409;3.3554299743327575e-05
L30P180A4(A);2;1105.2581610679626;8.221455712745685;0.0
L30P180A5(A);2;2696.1003160476685;8.59667556895838;0.0
L30P180A10(A);2;1450.5588729381561;9.489964960641771;0.0
L30P180A7(A);2;1566.4029140472412;7.6749786016253605;0.0
L30P180A12(A);2;1481.3894469738007;9.409504352609641;0.0
L30P180A13(A);2;1297.9069051742554;7.956235460087158;0.0
L30P180A6(A);2;1095.814705133438;8.613424138126613;0.0
L30P180A3(A);9;3600.0109770298004;8.457960846693744;0.012864531277007828
L30P180A2(A);2;712.5843801498413;8.17061559530285;7.621142593243795e-05
L30P180A9(A);2;1375.6617081165314;8.936846504325706;0.0
L30P180A15(A);9;3600.0118749141693;8.869798605437756;0.013693951957404867
L30P180A1(A);2;895.2341787815094;9.325302111134782;3.648225847369005e-05
L30P180A8(A);9;3600.016350030899;8.175051378151712;0.008262589172367909
L30P180A14(A);9;3600.014402151108;8.299720572091248;0.03720108602781147
